Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Okta inc,OKTA,"",222516.0,27205000.0,0.3446,0.6878,36,-526882.0,-70.307367,reduction,0.1812398,Q1 2019,INFORMATION TECHNOLOGY,"","",111.31
Servicenow inc,NOW,"",78911.0,22615000.0,0.2865,6.1469,37,-2657848.0,-97.116626,reduction,0.0415759,Q2 2018,INFORMATION TECHNOLOGY,"","",194.5
Intuitive surgical inc,ISRG,"",132672.0,21900000.0,0.2774,1.33,38,-715722.0,-84.361983,reduction,0.0379222,Q2 2019,HEALTH CARE,"","",524.55
Fitbit inc,FIT2,"",3178570.0,21169000.0,0.2682,,39,3178570.0,,new,1.1917025,Q4 2015,INFORMATION TECHNOLOGY,"","",6.66
Canopy growth corp,CGC,"",1316735.0,18987000.0,0.2405,,40,1316735.0,,new,0.3753494,Q1 2020,HEALTH CARE,"","",14.42
Stitch fix inc,SFIX,"",935426.0,11880000.0,0.1505,0.2235,41,-159263.0,-14.548698,reduction,0.9128190,Q4 2019,CONSUMER DISCRETIONARY,"","",25.66
Bed bath & beyond inc.,BBBY,"",1818983.0,7658000.0,0.097,,42,1818983.0,,new,1.4376130,Q1 2020,CONSUMER DISCRETIONARY,"","",4.21
3d systems corp.,DDD,"",961925.0,7417000.0,0.094,,43,961925.0,,new,0.8092451,Q1 2017,INDUSTRIALS,"","",7.71
Hertz global hld,HTZGQ1,"",1182645.0,7309000.0,0.0926,0.0074,44,1123708.0,1906.625719,addition,0.8312111,Q2 2018,CONSUMER DISCRETIONARY,"","",6.5847
Stratasys ltd,SSYS,"",457112.0,7291000.0,0.0924,,45,457112.0,,new,0.8396538,Q2 2015,INFORMATION TECHNOLOGY,"","",15.95
