Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Walt disney co. (the),DIS,"",11056268.0,2003174000.0,7.4934,6.1399,1,1628007.0,17.267309,addition,0.6106799,Q3 2019,COMMUNICATIONS,"","",121.9819
Paypal holdings inc,PYPL,"",6846512.0,1603453000.0,5.9981,7.0078,2,69719.0,1.02879,addition,0.5843270,Q1 2016,COMMUNICATIONS,"","",114.9073
Tesla inc,TSLA,"",2150589.0,1517606000.0,5.677,6.9962,3,-956586.0,-30.786357,reduction,0.2268791,Q1 2020,CONSUMER DISCRETIONARY,"","",396.68
Square inc,SQ,"",6135041.0,1335230000.0,4.9948,4.6985,4,627616.0,11.395816,addition,1.5984746,Q2 2019,FINANCE,"","",107.3845
Sunrun inc,RUN,"",18692965.0,1296918000.0,4.8514,3.3415,5,10431994.0,126.280482,addition,9.4633337,Q3 2020,ENERGY,"","",72.7784
Doordash  inc.,DASH,"",8750705.0,1249163000.0,4.6728,,6,8750705.0,,new,3.0560212,Q4 2020,CONSUMER DISCRETIONARY,"","",142.75
Snowflake  inc.,SNOW,"",4067911.0,1144710000.0,4.2821,5.3277,7,23691.0,0.585799,addition,8.0234931,Q3 2020,INFORMATION TECHNOLOGY,"","",251.177
Uber technologies inc,UBER,"",21166062.0,1079469000.0,4.038,2.2655,8,9333658.0,78.882178,addition,1.2000479,Q2 2019,CONSUMER DISCRETIONARY,"","",43.1289
Zoom video communications inc,ZM,"",2515435.0,848506000.0,3.174,6.1059,9,40740.0,1.646263,addition,1.2658467,Q2 2019,INFORMATION TECHNOLOGY,"","",229.9181
Crowdstrike holdings inc,CRWD,"",3964289.0,839716000.0,3.1412,3.0081,10,-209520.0,-5.019875,reduction,2.1055287,Q1 2020,INFORMATION TECHNOLOGY,"","",68.28
Netflix inc,NFLX,"",1435187.0,776049000.0,2.903,3.7405,11,9887.0,0.693679,addition,0.3248536,Q4 2012,COMMUNICATIONS,"","",130.0885
Peloton interactive inc,PTON,"",5109019.0,775141000.0,2.8996,2.6775,12,-31567.0,-0.614074,reduction,1.9995157,Q4 2019,CONSUMER DISCRETIONARY,"","",37.15
Global payments inc.,GPN,"",3409289.0,734430000.0,2.7473,3.5425,13,-391600.0,-10.302853,reduction,1.1389457,Q2 2019,INFORMATION TECHNOLOGY,"","",172.03
Nuance communications  inc.,NUAN,"",16614864.0,732550000.0,2.7403,1.578,14,7556312.0,83.416334,addition,5.8318929,Q3 2020,INFORMATION TECHNOLOGY,"","",38.1472
Zillow group inc class c,Z,"",5431792.0,705046000.0,2.6374,1.635,15,2365330.0,77.135474,addition,3.2743804,Q3 2020,COMMUNICATIONS,"","",113.8743
Amazon.com inc.,AMZN,"",209134.0,681135000.0,2.548,3.4561,16,0.0,0.0,,0.0416808,Q4 2009,CONSUMER DISCRETIONARY,"","",1042.96
Sea ltd adr,SE,"",3144837.0,625980000.0,2.3416,2.5216,17,25839.0,0.828439,addition,0.6143082,Q2 2019,INFORMATION TECHNOLOGY,"","",34.3544
Anaplan inc,PLAN,"",8450990.0,607204000.0,2.2714,3.9933,18,-3707104.0,-30.490832,reduction,5.9559303,Q4 2018,INFORMATION TECHNOLOGY,"","",41.44
Meta platforms  inc.,FB,"",2165203.0,591446000.0,2.2124,3.2052,19,-166626.0,-7.145721,reduction,0.0900678,Q3 2013,COMMUNICATIONS,"","",130.08
Shopify inc,SHOP,"",437764.0,495527000.0,1.8536,2.3602,20,-1838.0,-0.418105,reduction,0.3950830,Q2 2017,COMMUNICATIONS,"","",992.36
Lam research corp.,LRCX,"",952193.0,449692000.0,1.6822,1.6579,21,0.0,0.0,,0.6612028,Q1 2020,INFORMATION TECHNOLOGY,"","",279.4
Insulet corp,PODD,"",1754246.0,448438000.0,1.6775,1.8144,22,293033.0,20.054092,addition,2.6608564,Q3 2019,HEALTH CARE,"","",183.5292
Xpeng inc.,XPEV,"",10379425.0,444551000.0,1.663,,23,10379425.0,,new,1.4553710,Q4 2020,CONSUMER DISCRETIONARY,"","",42.83
Jd.com inc adr,JD,"",4562952.0,401084000.0,1.5004,1.8586,24,0.0,0.0,,0.2944074,Q3 2019,CONSUMER DISCRETIONARY,"","",40.5
Agora  inc. ads,API,"",10070026.0,398370000.0,1.4902,,25,10070026.0,,new,10.1487312,Q4 2020,INFORMATION TECHNOLOGY,"","",39.56
Alteryx inc,AYX,"",3102175.0,377814000.0,1.4133,,26,3102175.0,,new,5.7400050,Q4 2020,INFORMATION TECHNOLOGY,"","",121.79
Nvidia corp.,NVDA,"",2503588.0,326843000.0,1.2226,1.7779,27,0.0,0.0,,0.1011142,Q3 2016,INFORMATION TECHNOLOGY,"","",221.46
Pinterest inc,PINS,"",4254228.0,280354000.0,1.0487,0.1351,28,3634228.0,586.165806,addition,0.8327642,Q3 2020,COMMUNICATIONS,"","",62.3455
