Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2010-09-09,79.66043678509722,79.66043678509722,78.6034783202328,78.74337005615234,26500,0.0,0.0,0.0
2010-09-10,79.02316715705544,79.163058917102,78.72784274334632,79.10088348388672,8600,0.0,0.0,0.0
2010-09-13,80.01794865286477,80.1578404099076,79.66044881361654,80.09566497802734,33750,0.0,0.0,0.0
2010-09-14,79.92467770743689,80.42207518457643,79.56717790306702,80.08011627197266,59400,0.0,0.0,0.0
2010-09-15,79.75370154293864,80.34435028051612,79.5827220922913,80.28218078613281,9250,0.0,0.0,0.0
2010-09-16,80.06455712529528,80.29771197151845,79.81586138969844,80.25108337402344,59550,0.0,0.0,0.0
2010-09-17,80.73291704920443,80.73291704920443,80.06454623890878,80.32878875732422,49350,0.0,0.0,0.0
2010-09-20,80.62413814043889,81.63446807861328,80.40653007483212,81.63446807861328,19000,0.0,0.0,0.0
2010-09-21,81.61890636144233,81.94532432965529,81.04379858881548,81.38575744628906,19250,0.0,0.0,0.0
2010-09-22,81.26139618616939,81.63444270366394,80.79509248633113,80.95053100585938,18100,0.0,0.0,0.0
2010-09-23,80.29772167738494,81.09043757748881,80.14228904736451,80.28218078613281,33350,0.0,0.0,0.0
2010-09-24,81.21829536403617,81.9684347459922,81.15578225847871,81.92154693603516,24100,0.558,0.0,0.0
2010-09-27,82.03094450456696,82.03094450456696,81.53084564208984,81.53084564208984,15000,0.0,0.0,0.0
2010-09-28,81.5152125001126,82.06218719482422,80.81195506292835,82.06218719482422,49850,0.0,0.0,0.0
2010-09-29,81.71838897001786,81.98406072849622,81.43708595423021,81.67150115966797,15900,0.0,0.0,0.0
2010-09-30,82.20284028856976,82.57791291625627,81.23391111261395,81.54647064208984,44750,0.0,0.0,0.0
2010-10-01,82.10908468530698,82.17159778967113,81.39020186985262,81.8277816772461,17100,0.0,0.0,0.0
2010-10-04,82.24973874901161,82.24973874901161,80.87448021809018,81.14015197753906,88700,0.0,0.0,0.0
2010-10-05,82.06218228389083,82.9842295437807,81.90590551234747,82.92172241210938,19850,0.0,0.0,0.0
2010-10-06,82.92173365140405,83.04675389326877,82.53103570801338,82.78108215332031,276900,0.0,0.0,0.0
2010-10-07,83.21866715021714,83.21866715021714,82.29661970764833,82.73419952392578,49900,0.0,0.0,0.0
2010-10-08,82.84358981476562,83.40619581064084,82.56229277840555,83.35931396484375,61550,0.0,0.0,0.0
2010-10-11,83.39055884383541,83.4843225223056,83.0467427919068,83.2186508178711,14200,0.0,0.0,0.0
2010-10-12,83.12488778279665,83.7968886859205,82.62479491929665,83.703125,42050,0.0,0.0,0.0
