Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-09-30,0.0,0.4598601354133563,0.4428281486034393,0.4428281486034393,18000,0.0,0.0
1983-10-03,0.0,0.4456670242287368,0.4399896628064088,0.4428281486034393,18000,0.0,0.0
1983-10-04,0.0,0.4399898319166158,0.4371509552001953,0.4371509552001953,21600,0.0,0.0
1983-10-05,0.0,0.434312137866113,0.386055052280426,0.386055052280426,127800,0.0,0.0
1983-10-06,0.0,0.3945715427398681,0.3832168660593313,0.3945715427398681,118800,0.0,0.0
1983-10-07,0.0,0.3917324822500312,0.3888940215110779,0.3888940215110779,37800,0.0,0.0
1983-10-10,0.0,0.4201192557811737,0.386055256430588,0.4201192557811737,104400,0.0,0.0
1983-10-11,0.0,0.4286351688610388,0.4087646901607513,0.4087646901607513,75600,0.0,0.0
1983-10-12,0.0,0.3974096964833153,0.386055052280426,0.386055052280426,84600,0.0,0.0
1983-10-13,0.0,0.3888940215110779,0.3888940215110779,0.3888940215110779,14400,0.0,0.0
1983-10-14,0.0,0.386055052280426,0.3803781321891852,0.386055052280426,50400,0.0,0.0
1983-10-17,0.0,0.391732386563998,0.386055052280426,0.386055052280426,54000,0.0,0.0
1983-10-18,0.0,0.3832168873528477,0.3803784251213074,0.3803784251213074,7200,0.0,0.0
1983-10-19,0.0,0.386055052280426,0.3803781321891852,0.386055052280426,28800,0.0,0.0
1983-10-20,0.0,0.3803784251213074,0.3803784251213074,0.3803784251213074,5400,0.0,0.0
1983-10-21,0.0,0.3775395452976227,0.3775395452976227,0.3775395452976227,1800,0.0,0.0
1983-10-24,0.0,0.3747011058445281,0.3434759974479675,0.3434759974479675,54000,0.0,0.0
1983-10-25,0.0,0.3406369090080261,0.3349595735898544,0.3406369090080261,30600,0.0,0.0
1983-10-26,0.0,0.3377984842026638,0.3122507035732269,0.3122507035732269,169200,0.0,0.0
1983-10-27,0.0,0.3122507035732269,0.2980575706194958,0.3122507035732269,117000,0.0,0.0
1983-10-28,0.0,0.3463144600391388,0.3150893494266072,0.3463144600391388,153000,0.0,0.0
1983-10-31,0.0,0.3491533368116197,0.3434760218236353,0.3463144600391388,45000,0.0,0.0
1983-11-01,0.0,0.3463144600391388,0.3434760218236353,0.3463144600391388,23400,0.0,0.0
1983-11-02,0.0,0.3491532206535339,0.3491532206535339,0.3491532206535339,3600,0.0,0.0
1983-11-03,0.0,0.3491533120330465,0.3434759974479675,0.3434759974479675,12600,0.0,0.0
1983-11-04,0.0,0.3406368081035068,0.3321210145950317,0.3321210145950317,16200,0.0,0.0
1983-11-07,0.0,0.3292828466840005,0.3264439702033996,0.3264439702033996,9000,0.0,0.0
1983-11-08,0.0,0.3321210718700654,0.3264437371545823,0.3292826116085052,9000,0.0,0.0
1983-11-09,0.0,0.3321210718700654,0.3264437371545823,0.3292826116085052,12600,0.0,0.0
1983-11-10,0.0,0.3463144600391388,0.3349598056988934,0.3463144600391388,41400,0.0,0.0
1983-11-11,0.0,0.3576688766479492,0.3406368954362863,0.3576688766479492,27000,0.0,0.0
1983-11-14,0.0,0.3860550196929542,0.3633461230321435,0.3832165598869324,171000,0.0,0.0
1983-11-15,0.0,0.4087645601071853,0.3860552365005807,0.3974098861217499,131400,0.0,0.0
1983-11-16,0.0,0.417280455828477,0.3945715411176659,0.4116030931472778,86400,0.0,0.0
1983-11-17,0.0,0.4172805249691009,0.4059262606465455,0.4172805249691009,43200,0.0,0.0
1983-11-18,0.0,0.4172805249691009,0.4144420380723594,0.4172805249691009,39600,0.0,0.0
1983-11-21,0.0,0.4286352396011352,0.4201194370935041,0.4286352396011352,37800,0.0,0.0
1983-11-22,0.0,0.4343122456265272,0.4257964491844177,0.4257964491844177,14400,0.0,0.0
1983-11-23,0.0,0.4201194016942603,0.4172805249691009,0.4172805249691009,23400,0.0,0.0
1983-11-25,0.0,0.4116032765671401,0.4030874967575073,0.4030874967575073,30600,0.0,0.0
1983-11-28,0.0,0.403087318789685,0.3917326664734203,0.3945715427398681,21600,0.0,0.0
1983-11-29,0.0,0.394571357181417,0.3860551465796921,0.3888940215110779,18000,0.0,0.0
1983-11-30,0.0,0.3945712608019496,0.3832165922348056,0.386055052280426,68400,0.0,0.0
1983-12-01,0.0,0.3803784251213074,0.3803784251213074,0.3803784251213074,5400,0.0,0.0
1983-12-02,0.0,0.3775395426296932,0.3633464276790619,0.3633464276790619,12600,0.0,0.0
1983-12-05,0.0,0.3747011423110962,0.3633464876716086,0.3747011423110962,21600,0.0,0.0
1983-12-06,0.0,0.3747011423110962,0.3747011423110962,0.3747011423110962,5400,0.0,0.0
1983-12-07,0.0,0.3747011423110962,0.3718622654637991,0.3747011423110962,16200,0.0,0.0
1983-12-08,0.0,0.3747011423110962,0.3747011423110962,0.3747011423110962,9000,0.0,0.0
1983-12-09,0.0,0.3747011423110962,0.3747011423110962,0.3747011423110962,14400,0.0,0.0
1983-12-12,0.0,0.4002486765384674,0.3803782327530648,0.4002486765384674,52200,0.0,0.0
1983-12-13,0.0,0.4257968381973608,0.4002490357020897,0.405926376581192,104400,0.0,0.0
1983-12-14,0.0,0.3974096964833153,0.386055052280426,0.386055052280426,50400,0.0,0.0
1983-12-15,0.0,0.3888940215110779,0.3803782251017853,0.3888940215110779,36000,0.0,0.0
1983-12-16,0.0,0.3832168873528477,0.3803784251213074,0.3803784251213074,21600,0.0,0.0
1983-12-19,0.0,0.386055349584388,0.3775395486971169,0.3803784251213074,102600,0.0,0.0
1983-12-20,0.0,0.3974099804494166,0.3775395277190629,0.3945715427398681,25200,0.0,0.0
1983-12-21,0.0,0.3974096964833153,0.386055052280426,0.386055052280426,27000,0.0,0.0
1983-12-22,0.0,0.386055349584388,0.3803784251213074,0.3803784251213074,32400,0.0,0.0
1983-12-23,0.0,0.3888940215110779,0.3803782251017853,0.3888940215110779,10800,0.0,0.0
1983-12-27,0.0,0.3974097047324445,0.391732394695282,0.391732394695282,37800,0.0,0.0
1983-12-28,0.0,0.3945712689921608,0.3888939345907429,0.391732394695282,48600,0.0,0.0
1983-12-29,0.0,0.3945712608019496,0.386055052280426,0.386055052280426,18000,0.0,0.0
1983-12-30,0.0,0.3974098861217499,0.3860552365005807,0.3974098861217499,19800,0.0,0.0
1984-01-03,0.0,0.3945715427398681,0.3888942043995997,0.3945715427398681,30600,0.0,0.0
1984-01-04,0.0,0.394571357181417,0.3888940215110779,0.3888940215110779,41400,0.0,0.0
1984-01-05,0.0,0.3945712608019496,0.386055052280426,0.386055052280426,113400,0.0,0.0
1984-01-06,0.0,0.386055349584388,0.3803784251213074,0.3803784251213074,16200,0.0,0.0
1984-01-09,0.0,0.3718621742123572,0.3661848604679107,0.3661848604679107,48600,0.0,0.0
1984-01-10,0.0,0.3832165598869324,0.3605072490338254,0.3832165598869324,91800,0.0,0.0
1984-01-11,0.0,0.391732394695282,0.3832166001893251,0.391732394695282,28800,0.0,0.0
1984-01-12,0.0,0.391732394695282,0.3832166001893251,0.391732394695282,21600,0.0,0.0
1984-01-13,0.0,0.391732386563998,0.386055052280426,0.386055052280426,27000,0.0,0.0
1984-01-16,0.0,0.3888940215110779,0.3803782251017853,0.3888940215110779,19800,0.0,0.0
1984-01-17,0.0,0.3917324822500312,0.3888940215110779,0.3888940215110779,30600,0.0,0.0
1984-01-18,0.0,0.4116031280996637,0.397410012562684,0.4087646901607513,255600,0.0,0.0
1984-01-19,0.0,0.4201193320832533,0.4116030931472778,0.4116030931472778,30600,0.0,0.0
1984-01-20,0.0,0.408764839924337,0.405926376581192,0.405926376581192,18000,0.0,0.0
1984-01-23,0.0,0.4087646901607513,0.4087646901607513,0.4087646901607513,9000,0.0,0.0
1984-01-24,0.0,0.4116032789031988,0.405926376581192,0.405926376581192,27000,0.0,0.0
1984-01-25,0.0,0.4144421540869853,0.4030874967575073,0.4030874967575073,63000,0.0,0.0
1984-01-26,0.0,0.405926376581192,0.4002490357020897,0.405926376581192,41400,0.0,0.0
1984-01-27,0.0,0.4030872231144676,0.3974098861217499,0.3974098861217499,28800,0.0,0.0
1984-01-30,0.0,0.403087318789685,0.3945715427398681,0.3945715427398681,19800,0.0,0.0
1984-01-31,0.0,0.3917323534972941,0.3803781000809105,0.3832165598869324,75600,0.0,0.0
