Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Ceridian hcm holding inc,CDAY,"",170000.0,14051000.0,0.0395,0.0523,62,0.0,0.0,,0.1150180,Q2 2018,INFORMATION TECHNOLOGY,"","",33.19
Xpeng inc.,XPEV,"",650000.0,13046000.0,0.0367,,63,650000.0,,new,0.0903100,Q3 2020,CONSUMER DISCRETIONARY,"","",20.07
Avalara inc,AVLR,"",100000.0,12734000.0,0.0358,0.0516,64,0.0,0.0,,0.1182440,Q2 2018,INFORMATION TECHNOLOGY,"","",53.37
Farfetch ltd,FTCH,"",500000.0,12580000.0,0.0354,0.0335,65,0.0,0.0,,0.1683401,Q3 2018,CONSUMER DISCRETIONARY,"","",27.23
American well corp.,AMWL,"",400000.0,11856000.0,0.0334,,66,400000.0,,new,0.2018526,Q3 2020,HEALTH CARE,"","",29.64
Cardlytics inc,CDLX,"",124940.0,8817000.0,0.0248,0.0339,67,0.0,0.0,,0.4549162,Q4 2019,INFORMATION TECHNOLOGY,"","",62.86
Huya inc,HUYA,"",362000.0,8670000.0,0.0244,0.0262,68,0.0,0.0,,0.1627614,Q2 2018,INFORMATION TECHNOLOGY,"","",32.89
Xp inc.,XP,"",200000.0,8338000.0,0.0235,0.0326,69,0.0,0.0,,0.0564682,Q4 2019,FINANCE,"","",38.52
Vertex  inc.,VERX,"",325000.0,7475000.0,0.021,,70,325000.0,,new,1.2651822,Q3 2020,INFORMATION TECHNOLOGY,"","",23.0
Cloudflare inc,NET,"",175000.0,7186000.0,0.0202,0.0244,71,0.0,0.0,,0.0748138,Q3 2019,INFORMATION TECHNOLOGY,"","",18.57
Zoominfo technologies inc.,ZI,"",150000.0,6449000.0,0.0181,0.0297,72,0.0,0.0,,0.2884932,Q2 2020,COMMUNICATIONS,"","",51.03
Li auto inc. ads,LI,"",350000.0,6087000.0,0.0171,,73,350000.0,,new,0.0418488,Q3 2020,CONSUMER DISCRETIONARY,"","",17.39
Tenable holdings inc,TENB,"",150000.0,5663000.0,0.0159,0.0173,74,0.0,0.0,,0.1454681,Q3 2018,INFORMATION TECHNOLOGY,"","",38.88
Douyu international holdings ltd,DOYU,"",400000.0,5284000.0,0.0149,0.0179,75,0.0,0.0,,0.1246313,Q3 2019,INFORMATION TECHNOLOGY,"","",8.19
Bilibili inc,BILI,"",100000.0,4160000.0,0.0117,0.018,76,0.0,0.0,,0.0289497,Q1 2018,COMMUNICATIONS,"","",11.01
Solarwinds corp,SWI,"",189600.0,4068000.0,0.0114,0.0137,77,0.0,0.0,,0.0636857,Q4 2018,INFORMATION TECHNOLOGY,"","",13.83
Pagerduty inc,PD,"",150000.0,4067000.0,0.0114,0.0166,78,0.0,0.0,,0.1886070,Q2 2019,INFORMATION TECHNOLOGY,"","",47.05
Dropbox inc,DBX,"",200000.0,3852000.0,0.0108,0.0169,79,0.0,0.0,,0.0633154,Q1 2018,INFORMATION TECHNOLOGY,"","",31.25
Agora  inc. ads,API,"",70000.0,3009000.0,0.0085,0.012,80,0.0,0.0,,0.0705471,Q2 2020,INFORMATION TECHNOLOGY,"","",44.17
Outset medical  inc.,OM,"",55000.0,2750000.0,0.0077,,81,55000.0,,new,0.1288038,Q3 2020,INFORMATION TECHNOLOGY,"","",50.0
Yalla group ltd ads,YALA,"",350000.0,2450000.0,0.0069,,82,350000.0,,new,N/A,Q3 2020,INFORMATION TECHNOLOGY,"","",7.0
Redfin corp,RDFN,"",40087.0,2002000.0,0.0056,0.0065,83,0.0,0.0,,0.0391689,Q3 2017,REAL ESTATE,"","",25.09
Health catalyst inc,HCAT,"",50000.0,1830000.0,0.0052,0.0057,84,0.0,0.0,,0.1176513,Q3 2019,INFORMATION TECHNOLOGY,"","",31.64
Onesmart international education group ltd,ONE,"",320000.0,1437000.0,0.004,0.0049,85,0.0,0.0,,0.1989293,Q1 2018,CONSUMER DISCRETIONARY,"","",10.75
Medallia inc,MDLA1,"",50000.0,1371000.0,0.0039,0.0049,86,0.0,0.0,,0.0339945,Q3 2019,INFORMATION TECHNOLOGY,"","",27.43
Oak street health  inc.,OSH,"",25000.0,1336000.0,0.0038,,87,25000.0,,new,0.0103808,Q3 2020,INFORMATION TECHNOLOGY,"","",53.44
Dada nexus ltd. ads,DADA,"",50000.0,1324000.0,0.0037,0.0043,88,0.0,0.0,,0.0222611,Q2 2020,COMMUNICATIONS,"","",22.3
Farmland partners inc,FPI,"",44502.0,296000.0,0.0008,0.0012,89,0.0,0.0,,0.1516186,Q1 2017,REAL ESTATE,"","",11.17
Kingsoft cloud holdings limited adr,KC,"",10000.0,295000.0,0.0008,0.0012,90,0.0,0.0,,0.0045868,Q2 2020,INFORMATION TECHNOLOGY,"","",31.52
Athene holding ltd class a,ATH,"",0.0,0.0,,0.1739,"",-1438000.0,-100.0,soldall,0.0000000,Q1 2020,FINANCE,"","",24.82
Chewy inc,CHWY,"",0.0,0.0,,0.1386,"",-800000.0,-100.0,soldall,0.0000000,Q2 2019,CONSUMER DISCRETIONARY,"","",35.0
New relic inc,NEWR,"",0.0,0.0,,0.3596,"",-1346000.0,-100.0,soldall,0.0000000,Q3 2019,INFORMATION TECHNOLOGY,"","",61.45
