Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Quantumscape,QS,"",719678.0,32206000.0,0.1766,,45,719678.0,,new,0.3421539,Q1 2021,FINANCE,"","",44.75
Inovio pharmaceuticals inc,INO,"",3126923.0,29018000.0,0.1591,0.1184,46,-450000.0,-12.580645,reduction,1.5011199,Q2 2020,HEALTH CARE,"","",23.4
3d systems corp.,DDD,"",961067.0,26372000.0,0.1446,,47,961067.0,,new,0.7742516,Q1 2017,INDUSTRIALS,"","",27.44
Lightspeed pos inc.,LSPD,"",333372.0,20939000.0,0.1148,0.0653,48,85210.0,34.336442,addition,0.2597889,Q4 2020,INFORMATION TECHNOLOGY,"","",68.4525
Lucid group inc,LCID,"",900000.0,20862000.0,0.1144,,49,900000.0,,new,0.4347826,Q1 2021,CONSUMER DISCRETIONARY,"","",23.18
Msd acquisition corp,MSDAU,"",2000000.0,20300000.0,0.1113,,50,2000000.0,,new,No Data,Q1 2021, ,"","",10.15
Ribbit leap  ltd.,LEAP.UN,"",1830000.0,20130000.0,0.1104,0.1025,51,0.0,0.0,,No Data,Q3 2020,FINANCE,"","",13.0
Coupa software inc,COUP,"",70067.0,17831000.0,0.0978,0.0596,52,23062.0,49.062866,addition,0.0961767,Q3 2020,INFORMATION TECHNOLOGY,"","",271.8418
Stoneco ltd,STNE,"",278061.0,17023000.0,0.0933,0.0623,53,79606.0,40.112872,addition,0.1556181,Q4 2020,FINANCE,"","",77.4212
Graftech international ltd,EAF,"",1090232.0,13334000.0,0.0731,,54,1090232.0,,new,0.4079672,Q3 2020,INDUSTRIALS,"","",12.23
Tal education group american depositary adr,TAL,"",245598.0,13225000.0,0.0725,,55,245598.0,,new,0.0614758,Q1 2021,CONSUMER DISCRETIONARY,"","",53.85
Bill.com holdings  inc.,BILL,"",76631.0,11150000.0,0.0611,,56,76631.0,,new,0.0931320,Q1 2021,INFORMATION TECHNOLOGY,"","",145.5
Snap inc class a,SNAP,"",154484.0,8078000.0,0.0443,0.0642,57,-188516.0,-54.960933,reduction,0.0123293,Q4 2020,UTILITIES AND TELECOMMUNICATIONS,"","",50.07
Eastman kodak co,KODK,"",975000.0,7673000.0,0.0421,0.0343,58,-150000.0,-13.333333,reduction,1.2419832,Q3 2020,INFORMATION TECHNOLOGY,"","",8.82
Opendoor technologies  inc.,OPEN,"",337760.0,7157000.0,0.0392,0.0287,59,0.0,0.0,,0.0585142,Q4 2020,CONSUMER DISCRETIONARY,"","",22.73
Workhorse group inc,WKHS,"",459949.0,6333000.0,0.0347,,60,459949.0,,new,0.3624356,Q1 2021,CONSUMER DISCRETIONARY,"","",13.77
Luminar technologies,LAZR,"",158946.0,3864000.0,0.0212,,61,158946.0,,new,0.3973650,Q1 2021,FINANCE,"","",24.31
Dexcom inc,DXCM,"",9513.0,3419000.0,0.0187,0.0132,62,0.0,0.0,,0.0098911,Q2 2020,HEALTH CARE,"","",405.4
Velodyne lidar inc,VLDR,"",269142.0,3068000.0,0.0168,0.0064,63,194142.0,258.856,addition,2.3497438,Q4 2020,INFORMATION TECHNOLOGY,"","",
Stratasys ltd,SSYS,"",60000.0,1554000.0,0.0085,,64,60000.0,,new,0.1059748,Q2 2015,INFORMATION TECHNOLOGY,"","",25.9
Macerich company (the),MAC,"",85238.0,997000.0,0.0055,,65,85238.0,,new,0.0570259,Q3 2020,REAL ESTATE,"","",11.7
Boeing company,BA,"",1400.0,357000.0,0.002,0.1676,66,-207959.0,-99.331292,reduction,0.0002401,Q4 2019,INDUSTRIALS,"","",214.06
Microsoft corp.,MSFT,"",0.0,0.0,,0.3807,"",-457536.0,-100.0,soldall,0.0000000,Q4 2017,INFORMATION TECHNOLOGY,"","",101.95
Nvidia corp.,NVDA,"",0.0,0.0,,1.2226,"",-2503588.0,-100.0,soldall,0.0000000,Q3 2016,INFORMATION TECHNOLOGY,"","",221.46
Liberty media corp series c,FWONK,"",0.0,0.0,,0.1326,"",-832358.0,-100.0,soldall,0.0000000,Q2 2020,COMMUNICATIONS,"","",31.71
Live nation entertainment inc,LYV,"",0.0,0.0,,0.4108,"",-1494413.0,-100.0,soldall,0.0000000,Q4 2019,COMMUNICATIONS,"","",55.38
Align technology inc,ALGN,"",0.0,0.0,,0.1757,"",-87875.0,-100.0,soldall,0.0000000,Q2 2020,HEALTH CARE,"","",274.44
Under armour inc cl c,UA,"",0.0,0.0,,0.1628,"",-2925676.0,-100.0,soldall,0.0000000,Q3 2020,CONSUMER DISCRETIONARY,"","",10.55
Roku inc,ROKU,"",0.0,0.0,,0.1815,"",-146153.0,-100.0,soldall,0.0000000,Q4 2020,INFORMATION TECHNOLOGY,"","",332.02
Mercadolibre inc,MELI,"",0.0,0.0,,0.0635,"",-10133.0,-100.0,soldall,0.0000000,Q4 2020,COMMUNICATIONS,"","",1675.22
Micron technology  inc.,MU,"",0.0,0.0,,0.5146,"",-1829932.0,-100.0,soldall,0.0000000,Q1 2018,INFORMATION TECHNOLOGY,"","",46.33
Expedia group inc,EXPE,"",0.0,0.0,,0.7317,"",-1477423.0,-100.0,soldall,0.0000000,Q3 2020,CONSUMER DISCRETIONARY,"","",120.5
Lam research corp.,LRCX,"",0.0,0.0,,1.6822,"",-952193.0,-100.0,soldall,0.0000000,Q1 2020,INFORMATION TECHNOLOGY,"","",279.4
