Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Vertex  inc.,VERX,"",325000.0,11326000.0,0.029,0.021,77,0.0,0.0,,1.2652067,Q3 2020,INFORMATION TECHNOLOGY,"","",23.0
American well corp.,AMWL,"",400000.0,10132000.0,0.026,0.0334,78,0.0,0.0,,0.2001084,Q3 2020,HEALTH CARE,"","",29.64
Li auto inc. ads,LI,"",350000.0,10091000.0,0.0259,0.0171,79,0.0,0.0,,0.0389931,Q3 2020,CONSUMER DISCRETIONARY,"","",17.39
Xp inc.,XP,"",200000.0,7934000.0,0.0203,0.0235,80,0.0,0.0,,0.0554775,Q4 2019,FINANCE,"","",38.52
Zoominfo technologies inc.,ZI,"",150000.0,7235000.0,0.0185,0.0181,81,0.0,0.0,,0.2166362,Q2 2020,COMMUNICATIONS,"","",51.03
Huya inc,HUYA,"",362000.0,7215000.0,0.0185,0.0244,82,0.0,0.0,,0.1538478,Q2 2018,INFORMATION TECHNOLOGY,"","",32.89
Pagerduty inc,PD,"",150000.0,6255000.0,0.016,0.0114,83,0.0,0.0,,0.1830769,Q2 2019,INFORMATION TECHNOLOGY,"","",47.05
17 education & technology group inc. ads,YQ,"",120000.0,6149000.0,0.0158,,84,120000.0,,new,No Data,Q4 2020,INFORMATION TECHNOLOGY,"","",12.81
Yalla group ltd ads,YALA,"",350000.0,5016000.0,0.0129,0.0069,85,0.0,0.0,,0.2443622,Q3 2020,INFORMATION TECHNOLOGY,"","",7.0
Dropbox inc,DBX,"",200000.0,4438000.0,0.0114,0.0108,86,0.0,0.0,,0.0633154,Q1 2018,INFORMATION TECHNOLOGY,"","",31.25
Douyu international holdings ltd,DOYU,"",400000.0,4424000.0,0.0113,0.0149,87,0.0,0.0,,0.1246313,Q3 2019,INFORMATION TECHNOLOGY,"","",8.19
Outset medical  inc.,OM,"",55000.0,3126000.0,0.008,0.0077,88,0.0,0.0,,0.1288038,Q3 2020,INFORMATION TECHNOLOGY,"","",50.0
Solarwinds corp,SWI,"",189600.0,2990000.0,0.0077,0.0114,89,0.0,0.0,,0.0636857,Q4 2018,INFORMATION TECHNOLOGY,"","",13.83
Redfin corp,RDFN,"",40087.0,2751000.0,0.007,0.0056,90,0.0,0.0,,0.0391689,Q3 2017,REAL ESTATE,"","",25.09
Health catalyst inc,HCAT,"",50000.0,2177000.0,0.0056,0.0052,91,0.0,0.0,,0.1176513,Q3 2019,INFORMATION TECHNOLOGY,"","",31.64
Dada nexus ltd. ads,DADA,"",50000.0,1825000.0,0.0047,0.0037,92,0.0,0.0,,0.0214035,Q2 2020,COMMUNICATIONS,"","",22.3
Medallia inc,MDLA1,"",50000.0,1661000.0,0.0043,0.0039,93,0.0,0.0,,0.0332340,Q3 2019,INFORMATION TECHNOLOGY,"","",27.43
Oak street health  inc.,OSH,"",25000.0,1529000.0,0.0039,0.0038,94,0.0,0.0,,0.0103808,Q3 2020,INFORMATION TECHNOLOGY,"","",53.44
Onesmart international education group ltd,ONE,"",320000.0,1216000.0,0.0031,0.004,95,0.0,0.0,,0.1982468,Q1 2018,CONSUMER DISCRETIONARY,"","",10.75
Kingsoft cloud holdings limited adr,KC,"",10000.0,436000.0,0.0011,0.0008,96,0.0,0.0,,0.0045868,Q2 2020,INFORMATION TECHNOLOGY,"","",31.52
Farmland partners inc,FPI,"",44502.0,387000.0,0.001,0.0008,97,0.0,0.0,,0.1518204,Q1 2017,REAL ESTATE,"","",11.17
Ceridian hcm holding inc,CDAY,"",0.0,0.0,,0.0395,"",-170000.0,-100.0,soldall,0.0000000,Q2 2018,INFORMATION TECHNOLOGY,"","",33.19
Tenable holdings inc,TENB,"",0.0,0.0,,0.0159,"",-150000.0,-100.0,soldall,0.0000000,Q3 2018,INFORMATION TECHNOLOGY,"","",38.88
Bilibili inc,BILI,"",0.0,0.0,,0.0117,"",-100000.0,-100.0,soldall,0.0000000,Q1 2018,COMMUNICATIONS,"","",11.01
Alphabet inc. class a,GOOGL,"",0.0,0.0,,0.1258,"",-30500.0,-100.0,soldall,0.0000000,Q4 2019,COMMUNICATIONS,"","",1339.39
Farfetch ltd,FTCH,"",0.0,0.0,,0.0354,"",-500000.0,-100.0,soldall,0.0000000,Q3 2018,CONSUMER DISCRETIONARY,"","",27.23
Cardlytics inc,CDLX,"",0.0,0.0,,0.0248,"",-124940.0,-100.0,soldall,0.0000000,Q4 2019,INFORMATION TECHNOLOGY,"","",62.86
Tencent music entertainment group,TME,"",0.0,0.0,,0.1122,"",-2700000.0,-100.0,soldall,0.0000000,Q4 2018,INFORMATION TECHNOLOGY,"","",13.22
