Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Paypal holdings inc,PYPL,"",7055251.0,1229237000.0,10.8159,4.6454,1,3225189.0,84.207227,addition,0.6013170,Q1 2016,COMMUNICATIONS,"","",113.6841
Walt disney co. (the),DIS,"",9199122.0,1025795000.0,9.0259,0.0568,2,9152731.0,19729.540213,addition,0.5090647,Q3 2019,COMMUNICATIONS,"","",111.4509
Zoom video communications inc,ZM,"",2521307.0,639253000.0,5.6247,1.1031,3,1925382.0,323.091329,addition,0.8937541,Q2 2019,INFORMATION TECHNOLOGY,"","",228.1507
Netflix inc,NFLX,"",1404316.0,639020000.0,5.6227,8.461,4,-374347.0,-21.046539,reduction,0.3184279,Q4 2012,COMMUNICATIONS,"","",121.67
Amazon.com inc.,AMZN,"",209364.0,577597000.0,5.0822,6.6685,5,-60617.0,-22.452321,reduction,0.0417984,Q4 2009,CONSUMER DISCRETIONARY,"","",1042.96
Boeing company,BA,"",2750028.0,504079000.0,4.4353,,6,2750028.0,,new,0.4872060,Q4 2019,INDUSTRIALS,"","",183.3
Meta platforms  inc.,FB,"",2017679.0,458154000.0,4.0312,5.2346,7,-459555.0,-18.551134,reduction,0.0708252,Q3 2013,COMMUNICATIONS,"","",109.55
Square inc,SQ,"",4326261.0,453998000.0,3.9947,2.1922,8,1022563.0,30.952072,addition,0.9754118,Q2 2019,FINANCE,"","",76.3265
Crowdstrike holdings inc,CRWD,"",4430076.0,444292000.0,3.9093,2.2421,9,1251420.0,39.369469,addition,2.0510205,Q1 2020,INFORMATION TECHNOLOGY,"","",68.2816
Anaplan inc,PLAN,"",8632084.0,391119000.0,3.4414,4.2596,10,-2479575.0,-22.315075,reduction,6.2760330,Q4 2018,INFORMATION TECHNOLOGY,"","",32.8
Sea ltd adr,SE,"",3303957.0,354316000.0,3.1176,2.6213,11,-1365838.0,-29.24835,reduction,0.6985462,Q2 2019,INFORMATION TECHNOLOGY,"","",32.99
