Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Snowflake  inc.,SNOW,"",3883970.0,974876000.0,21.8999,,1,3883970.0,,new,10.7266183,Q3 2020,INFORMATION TECHNOLOGY,"","",251.0
Uber technologies inc,UBER,"",17946310.0,654681000.0,14.7069,20.5667,2,-2030122.0,-10.162586,reduction,1.0174983,Q2 2019,CONSUMER DISCRETIONARY,"","",46.26
Datadog inc,DDOG,"",4469887.0,456644000.0,10.2582,14.1728,3,-450724.0,-9.159919,reduction,2.1484802,Q3 2019,INFORMATION TECHNOLOGY,"","",33.91
Dynatrace inc,DT,"",7263555.0,297951000.0,6.6932,8.8235,4,702836.0,10.712789,addition,2.5748475,Q3 2019,INFORMATION TECHNOLOGY,"","",21.8894
Square inc,SQ,"",1777689.0,288963000.0,6.4913,6.1796,5,0.0,0.0,,0.4631739,Q1 2020,FINANCE,"","",56.12
Duck creek technologies  inc.,DCT,"",4440120.0,201715000.0,4.5314,,6,4440120.0,,new,N/A,Q3 2020,INFORMATION TECHNOLOGY,"","",45.43
Twilio inc,TWLO,"",752883.0,186030000.0,4.179,8.4752,7,-413146.0,-35.43188,reduction,0.5026453,Q3 2017,INFORMATION TECHNOLOGY,"","",63.16
Alibaba group holding ltd adr,BABA,"",606716.0,178362000.0,4.0068,4.9987,8,-92871.0,-13.275118,reduction,0.0224241,Q4 2014,COMMUNICATIONS,"","",142.57
Zoominfo technologies inc.,ZI,"",3366769.0,144737000.0,3.2514,5.2686,9,250000.0,8.021127,addition,6.4752667,Q2 2020,COMMUNICATIONS,"","",50.433
Cargurus inc,CARG,"",6311121.0,136510000.0,3.0666,4.7791,10,619954.0,10.893267,addition,6.7025013,Q1 2020,CONSUMER DISCRETIONARY,"","",21.2873
Floor & decor holdings inc,FND,"",1570362.0,117463000.0,2.6387,2.9989,11,0.0,0.0,,1.5100044,Q2 2020,CONSUMER DISCRETIONARY,"","",57.65
Jamf holding corp.,JAMF,"",2807378.0,105585000.0,2.3719,,12,2807378.0,,new,2.4077745,Q3 2020,INFORMATION TECHNOLOGY,"","",37.61
