Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Airbnb  inc.,ABNB,"",650000.0,122161000.0,0.281,0.2445,46,0.0,0.0,,0.5381469,Q4 2020,CONSUMER DISCRETIONARY,"","",146.8
Despegar.com corp,DESP,"",7723185.0,105267000.0,0.2422,0.3038,47,-1533365.0,-16.565189,reduction,11.0888408,Q3 2017,COMMUNICATIONS,"","",32.0
Sumo logic  inc.,SUMO,"",5447687.0,102743000.0,0.2364,0.3948,48,56500.0,1.048007,addition,5.3042762,Q3 2020,INFORMATION TECHNOLOGY,"","",21.7695
Jamf holding corp.,JAMF,"",2778778.0,98146000.0,0.2258,0.213,49,0.0,0.0,,2.3656333,Q3 2020,INFORMATION TECHNOLOGY,"","",37.61
Zendesk inc,ZEN,"",714000.0,94691000.0,0.2178,0.2618,50,0.0,0.0,,0.6063231,Q3 2018,INFORMATION TECHNOLOGY,"","",69.61
Agora  inc. ads,API,"",1726123.0,86772000.0,0.1996,0.175,51,0.0,0.0,,2.0845764,Q2 2020,INFORMATION TECHNOLOGY,"","",39.75
Phoenix tree holdings ltd. ads,DNK1,"",36436075.0,86244000.0,0.1984,0.2717,52,0.0,0.0,,23.0193404,Q1 2020,REAL ESTATE,"","",4.34
Intuit  inc.,INTU,"",221237.0,84747000.0,0.195,0.2154,53,-50.0,-0.022595,reduction,0.0807906,Q4 2020,INFORMATION TECHNOLOGY,"","",379.85
Goodrx holdings  inc.,GDRX,"",2145000.0,83698000.0,0.1925,0.2217,54,0.0,0.0,,3.3755983,Q3 2020,HEALTH CARE,"","",50.3
Asana  inc.,ASAN,"",2881202.0,82345000.0,0.1894,0.1832,55,461748.0,19.084802,addition,3.5880801,Q3 2020,INFORMATION TECHNOLOGY,"","",29.151
