Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Snowflake  inc.,SNOW,"",3276596.0,751258000.0,10.751,16.3352,1,-602374.0,-15.529226,reduction,6.4627140,Q3 2020,INFORMATION TECHNOLOGY,"","",251.0
Uber technologies inc,UBER,"",11320595.0,617086000.0,8.8309,10.7081,2,-2709410.0,-19.31154,reduction,0.6091236,Q2 2019,CONSUMER DISCRETIONARY,"","",46.26
Airbnb  inc.,ABNB,"",3223630.0,605849000.0,8.6701,7.082,3,0.0,0.0,,2.6689023,Q4 2020,CONSUMER DISCRETIONARY,"","",146.8
Doordash  inc.,DASH,"",3697855.0,484900000.0,6.9393,9.3265,4,-667865.0,-15.297935,reduction,1.1640921,Q4 2020,CONSUMER DISCRETIONARY,"","",142.75
Dynatrace inc,DT,"",8604414.0,415077000.0,5.94,5.5615,5,15859.0,0.184653,addition,3.0447993,Q3 2019,INFORMATION TECHNOLOGY,"","",25.2325
Square inc,SQ,"",1777689.0,403624000.0,5.7761,5.79,6,0.0,0.0,,0.4560203,Q1 2020,FINANCE,"","",56.12
Datadog inc,DDOG,"",4474482.0,372903000.0,5.3365,6.5295,7,42234.0,0.95288,addition,2.0193181,Q3 2019,INFORMATION TECHNOLOGY,"","",34.3766
Twilio inc,TWLO,"",777393.0,264904000.0,3.791,3.8139,8,24510.0,3.255486,addition,0.4857779,Q3 2017,INFORMATION TECHNOLOGY,"","",71.9123
Cargurus inc,CARG,"",9283746.0,221232000.0,3.166,4.0684,9,716000.0,8.356924,addition,9.5000264,Q1 2020,CONSUMER DISCRETIONARY,"","",24.0238
Duck creek technologies  inc.,DCT,"",4440120.0,200427000.0,2.8683,2.8772,10,0.0,0.0,,3.3283556,Q3 2020,INFORMATION TECHNOLOGY,"","",45.43
Jamf holding corp.,JAMF,"",5647291.0,199462000.0,2.8544,2.4371,11,204334.0,3.754099,addition,4.8076600,Q3 2020,INFORMATION TECHNOLOGY,"","",33.9417
Alibaba group holding ltd adr,BABA,"",802216.0,181886000.0,2.6029,2.794,12,0.0,0.0,,0.0296498,Q4 2014,COMMUNICATIONS,"","",164.54
Zoominfo technologies inc.,ZI,"",3366769.0,164635000.0,2.356,2.43,13,0.0,0.0,,3.3152315,Q2 2020,COMMUNICATIONS,"","",50.43
Floor & decor holdings inc,FND,"",1570362.0,149938000.0,2.1457,2.1821,14,0.0,0.0,,1.5011601,Q2 2020,CONSUMER DISCRETIONARY,"","",57.65
Peloton interactive inc,PTON,"",1313520.0,147692000.0,2.1136,0.0811,15,1277804.0,3577.679471,addition,0.4982297,Q3 2019,CONSUMER DISCRETIONARY,"","",112.4773
Smartsheet inc,SMAR,"",2046983.0,130843000.0,1.8725,2.1226,16,0.0,0.0,,1.6744523,Q4 2020,INFORMATION TECHNOLOGY,"","",69.29
Roblox corp. class a,RBLX,"",1999999.0,129660000.0,1.8555,,17,1999999.0,,new,0.4008175,Q1 2021,INFORMATION TECHNOLOGY,"","",64.83
Bumble inc,BMBL,"",2000000.0,124760000.0,1.7854,,18,2000000.0,,new,No Data,Q1 2021,INFORMATION TECHNOLOGY,"","",62.38
Root  inc.,ROOT,"",9259259.0,117870000.0,1.6868,2.1769,19,0.0,0.0,,15.5199792,Q4 2020,FINANCE,"","",15.71
Playtika holding corp,PLTK,"",4125000.0,112241000.0,1.6062,,20,4125000.0,,new,1.0070697,Q1 2021,INFORMATION TECHNOLOGY,"","",27.21
Agora  inc. ads,API,"",1997733.0,100426000.0,1.4372,1.1827,21,0.0,0.0,,2.4125900,Q2 2020,INFORMATION TECHNOLOGY,"","",44.17
Unity software inc.,U,"",1000000.0,100310000.0,1.4355,2.2967,22,0.0,0.0,,0.3598359,Q3 2020,INFORMATION TECHNOLOGY,"","",87.28
Meta platforms  inc.,FB,"",339374.0,99956000.0,1.4304,1.3873,23,0.0,0.0,,0.0141086,Q2 2016,COMMUNICATIONS,"","",158.83
Fubotv inc,FUBO,"",4295360.0,95013000.0,1.3597,1.7999,24,0.0,0.0,,18.7324902,Q4 2020,INFORMATION TECHNOLOGY,"","",
Datto holding corp.,MSP,"",3706333.0,84912000.0,1.2152,1.4976,25,0.0,0.0,,2.3011475,Q4 2020,INFORMATION TECHNOLOGY,"","",27.0
Ke holdings inc.,BEKE,"",1250000.0,71225000.0,1.0193,1.1512,26,0.0,0.0,,0.1406092,Q3 2020,INFORMATION TECHNOLOGY,"","",61.3
Oscar health  inc.,OSCR,"",2543841.0,68378000.0,0.9785,,27,2543841.0,,new,1.2522600,Q1 2021,FINANCE,"","",26.88
Ironsource ltd,IS,"",6000000.0,62700000.0,0.8973,,28,6000000.0,,new,No Data,Q1 2021,FINANCE,"","",10.45
Tuya inc ads,TUYA,"",2850000.0,60249000.0,0.8622,,29,2850000.0,,new,0.5091468,Q1 2021,INFORMATION TECHNOLOGY,"","",21.14
Goodrx holdings  inc.,GDRX,"",1300000.0,50726000.0,0.7259,0.7848,30,0.0,0.0,,2.0458172,Q3 2020,HEALTH CARE,"","",55.6
Sana biotechnology inc,SANA,"",1500000.0,50205000.0,0.7185,,31,1500000.0,,new,0.7999750,Q1 2021,HEALTH CARE,"","",33.47
Xpeng inc.,XPEV,"",1200000.0,43812000.0,0.627,0.7692,32,0.0,0.0,,0.2470811,Q3 2020,CONSUMER DISCRETIONARY,"","",20.07
Health assurance acquisition corp.,HAACU,"",4000000.0,43040000.0,0.6159,0.6597,33,0.0,0.0,,8.0000000,Q4 2020,FINANCE,"","",11.02
Altimeter growth corp.,AGCUU,"",2550000.0,31187000.0,0.4463,0.4961,34,0.0,0.0,,5.1000000,Q4 2020,FINANCE,"","",13.0
